year rel_temperature rel_pptn
  1000 -1.0772806 -0.0834633
   999 -1.0806603 -0.0837252
   998 -1.0840400 -0.0839870
   997 -1.0874198 -0.0842489
   996 -1.0907995 -0.0845107
   995 -1.0941792 -0.0847726
   994 -1.0975590 -0.0850344
   993 -1.1009387 -0.0852963
   992 -1.1043184 -0.0855581
   991 -1.1076982 -0.0858200
   990 -1.1110779 -0.0860818
   989 -1.1144576 -0.0863437
   988 -1.1178374 -0.0866055
   987 -1.1212171 -0.0868674
   986 -1.1245969 -0.0871292
   985 -1.1279766 -0.0873911
   984 -1.1313563 -0.0876529
   983 -1.1347361 -0.0879147
   982 -1.1381158 -0.0881766
   981 -1.1414955 -0.0884384
   980 -1.1448753 -0.0887003
   979 -1.1482550 -0.0889621
   978 -1.1516347 -0.0892240
   977 -1.1550145 -0.0894858
   976 -1.1583942 -0.0897477
   975 -1.1617739 -0.0900095
   974 -1.1651537 -0.0902714
   973 -1.1685334 -0.0905332
   972 -1.1719131 -0.0907951
   971 -1.1752929 -0.0910569
   970 -1.1786726 -0.0913188
   969 -1.1820524 -0.0915806
   968 -1.1854321 -0.0918425
   967 -1.1888118 -0.0921043
   966 -1.1921916 -0.0923662
   965 -1.1955713 -0.0926280
   964 -1.1989510 -0.0928899
   963 -1.2023308 -0.0931517
   962 -1.2057105 -0.0934136
   961 -1.2090902 -0.0936754
   960 -1.2124700 -0.0939373
   959 -1.2158497 -0.0941991
   958 -1.2192294 -0.0944610
   957 -1.2226092 -0.0947228
   956 -1.2259889 -0.0949846
   955 -1.2293686 -0.0952465
   954 -1.2327484 -0.0955083
   953 -1.2361281 -0.0957702
   952 -1.2395078 -0.0960320
   951 -1.2428876 -0.0962939
   950 -1.2462673 -0.0965557
   949 -1.2496471 -0.0968176
   948 -1.2530268 -0.0970794
   947 -1.2564065 -0.0973413
   946 -1.2597863 -0.0976031
   945 -1.2631660 -0.0978650
   944 -1.2665457 -0.0981268
   943 -1.2699255 -0.0983887
   942 -1.2733052 -0.0986505
   941 -1.2766849 -0.0989124
   940 -1.2800647 -0.0991742
   939 -1.2834444 -0.0994361
   938 -1.2868241 -0.0996979
   937 -1.2902039 -0.0999598
   936 -1.2935836 -0.1002216
   935 -1.2969633 -0.1004835
   934 -1.3003431 -0.1007453
   933 -1.3037228 -0.1010072
   932 -1.3071026 -0.1012690
   931 -1.3104823 -0.1015309
   930 -1.3138620 -0.1017927
   929 -1.3172418 -0.1020546
   928 -1.3206215 -0.1023164
   927 -1.3240012 -0.1025782
   926 -1.3273810 -0.1028401
   925 -1.3307607 -0.1031019
   924 -1.3341404 -0.1033638
   923 -1.3375202 -0.1036256
   922 -1.3408999 -0.1038875
   921 -1.3442796 -0.1041493
   920 -1.3476594 -0.1044112
   919 -1.3510391 -0.1046730
   918 -1.3544188 -0.1049349
   917 -1.3577986 -0.1051967
   916 -1.3611783 -0.1054586
   915 -1.3645581 -0.1057204
   914 -1.3652340 -0.1057728
   913 -1.3527002 -0.1048017
   912 -1.3401664 -0.1038307
   911 -1.3276325 -0.1028596
   910 -1.3150987 -0.1018885
   909 -1.3025649 -0.1009174
   908 -1.2900311 -0.0999464
   907 -1.2774972 -0.0989753
   906 -1.2649634 -0.0980042
   905 -1.2524296 -0.0970332
   904 -1.2398958 -0.0960621
   903 -1.2273620 -0.0950910
   902 -1.2148281 -0.0941200
   901 -1.2022943 -0.0931489
   900 -1.1897605 -0.0921778
   899 -1.1772267 -0.0912067
   898 -1.1646928 -0.0902357
   897 -1.1521590 -0.0892646
   896 -1.1396252 -0.0882935
   895 -1.1270914 -0.0873225
   894 -1.1145576 -0.0863514
   893 -1.1020237 -0.0853803
   892 -1.0894899 -0.0844093
   891 -1.0769561 -0.0834382
   890 -1.0644223 -0.0824671
   889 -1.0518884 -0.0814961
   888 -1.0393546 -0.0805250
   887 -1.0268208 -0.0795539
   886 -1.0142870 -0.0785828
   885 -1.0017532 -0.0776118
   884 -0.9892193 -0.0766407
   883 -0.9766855 -0.0756696
   882 -0.9641517 -0.0746986
   881 -0.9516179 -0.0737275
   880 -0.9390840 -0.0727564
   879 -0.9265502 -0.0717854
   878 -0.9140164 -0.0708143
   877 -0.9014826 -0.0698432
   876 -0.8889488 -0.0688721
   875 -0.8764149 -0.0679011
   874 -0.8638811 -0.0669300
   873 -0.8513473 -0.0659589
   872 -0.8388135 -0.0649879
   871 -0.8262796 -0.0640168
   870 -0.8137458 -0.0630457
   869 -0.8012120 -0.0620747
   868 -0.7886782 -0.0611036
   867 -0.7761444 -0.0601325
   866 -0.7636105 -0.0591614
   865 -0.7510767 -0.0581904
   864 -0.7385429 -0.0572193
   863 -0.7260091 -0.0562482
   862 -0.7134753 -0.0552772
   861 -0.7009414 -0.0543061
   860 -0.6884076 -0.0533350
   859 -0.6758738 -0.0523640
   858 -0.6633400 -0.0513929
   857 -0.6508061 -0.0504218
   856 -0.6382723 -0.0494508
   855 -0.6257385 -0.0484797
   854 -0.6132047 -0.0475086
   853 -0.6006709 -0.0465375
   852 -0.5881370 -0.0455665
   851 -0.5756032 -0.0445954
   850 -0.5630694 -0.0436243
   849 -0.5505356 -0.0426533
   848 -0.5380017 -0.0416822
   847 -0.5254679 -0.0407111
   846 -0.5129341 -0.0397401
   845 -0.5004003 -0.0387690
   844 -0.4878665 -0.0377979
   843 -0.4753326 -0.0368268
   842 -0.4627988 -0.0358558
   841 -0.4502650 -0.0348847
   840 -0.4377312 -0.0339136
   839 -0.4251973 -0.0329426
   838 -0.4126635 -0.0319715
   837 -0.4001297 -0.0310004
   836 -0.3875959 -0.0300294
   835 -0.3750621 -0.0290583
   834 -0.3625282 -0.0280872
   833 -0.3499944 -0.0271161
   832 -0.3374606 -0.0261451
   831 -0.3249268 -0.0251740
   830 -0.3123929 -0.0242029
   829 -0.2998591 -0.0232319
   828 -0.2873253 -0.0222608
   827 -0.2747915 -0.0212897
   826 -0.2622577 -0.0203187
   825 -0.2497238 -0.0193476
   824 -0.2371900 -0.0183765
   823 -0.2246562 -0.0174055
   822 -0.2121224 -0.0164344
   821 -0.1995885 -0.0154633
   820 -0.2027220 -0.0157061
   819 -0.2190149 -0.0169684
   818 -0.2353077 -0.0182307
   817 -0.2516006 -0.0194930
   816 -0.2678934 -0.0207553
   815 -0.2841863 -0.0220176
   814 -0.3004791 -0.0232799
   813 -0.3167720 -0.0245422
   812 -0.3330648 -0.0258045
   811 -0.3493577 -0.0270668
   810 -0.3656505 -0.0283291
   809 -0.3819434 -0.0295914
   808 -0.3982362 -0.0308537
   807 -0.4145291 -0.0321160
   806 -0.4308220 -0.0333783
   805 -0.4471148 -0.0346406
   804 -0.4634077 -0.0359029
   803 -0.4797005 -0.0371653
   802 -0.4959934 -0.0384276
   801 -0.5122862 -0.0396899
   800 -0.5285791 -0.0409522
   799 -0.5448719 -0.0422145
   798 -0.5611648 -0.0434768
   797 -0.5774576 -0.0447391
   796 -0.5937505 -0.0460014
   795 -0.6100433 -0.0472637
   794 -0.6263362 -0.0485260
   793 -0.6426291 -0.0497883
   792 -0.6589219 -0.0510506
   791 -0.6752148 -0.0523129
   790 -0.6915076 -0.0535752
   789 -0.7078005 -0.0548375
   788 -0.7240933 -0.0560998
   787 -0.7403862 -0.0573621
   786 -0.7566790 -0.0586244
   785 -0.7729719 -0.0598867
   784 -0.7892647 -0.0611490
   783 -0.8055576 -0.0624113
   782 -0.8218505 -0.0636736
   781 -0.8381433 -0.0649359
   780 -0.8544362 -0.0661982
   779 -0.8707290 -0.0674606
   778 -0.8870219 -0.0687229
   777 -0.9033147 -0.0699852
   776 -0.9196076 -0.0712475
   775 -0.9359004 -0.0725098
   774 -0.9521933 -0.0737721
   773 -0.9684861 -0.0750344
   772 -0.9847790 -0.0762967
   771 -1.0010718 -0.0775590
   770 -1.0173647 -0.0788213
   769 -1.0336576 -0.0800836
   768 -1.0499504 -0.0813459
   767 -1.0662433 -0.0826082
   766 -1.0825361 -0.0838705
   765 -1.0988290 -0.0851328
   764 -1.1151218 -0.0863951
   763 -1.1314147 -0.0876574
   762 -1.1477075 -0.0889197
   761 -1.1640004 -0.0901820
   760 -1.1802932 -0.0914443
   759 -1.1965861 -0.0927066
   758 -1.2128789 -0.0939689
   757 -1.2291718 -0.0952312
   756 -1.2454647 -0.0964936
   755 -1.2617575 -0.0977559
   754 -1.2780504 -0.0990182
   753 -1.2943432 -0.1002805
   752 -1.3106361 -0.1015428
   751 -1.3269289 -0.1028051
   750 -1.3432218 -0.1040674
   749 -1.3595146 -0.1053297
   748 -1.3758075 -0.1065920
   747 -1.3921003 -0.1078543
   746 -1.4083932 -0.1091166
   745 -1.4246860 -0.1103789
   744 -1.4409789 -0.1116412
   743 -1.4572718 -0.1129035
   742 -1.4735646 -0.1141658
   741 -1.4898575 -0.1154281
   740 -1.5061503 -0.1166904
   739 -1.5224432 -0.1179527
   738 -1.5387360 -0.1192150
   737 -1.5550289 -0.1204773
   736 -1.5713217 -0.1217396
   735 -1.5876146 -0.1230019
   734 -1.6039074 -0.1242642
   733 -1.6202003 -0.1255265
   732 -1.6364932 -0.1267889
   731 -1.6527860 -0.1280512
   730 -1.6690789 -0.1293135
   729 -1.6755960 -0.1298184
   728 -1.6642487 -0.1289392
   727 -1.6529013 -0.1280601
   726 -1.6415540 -0.1271809
   725 -1.6302066 -0.1263018
   724 -1.6188593 -0.1254227
   723 -1.6075119 -0.1245435
   722 -1.5961646 -0.1236644
   721 -1.5848172 -0.1227852
   720 -1.5734699 -0.1219061
   719 -1.5621225 -0.1210269
   718 -1.5507752 -0.1201478
   717 -1.5394278 -0.1192686
   716 -1.5280805 -0.1183895
   715 -1.5167331 -0.1175103
   714 -1.5053858 -0.1166312
   713 -1.4940384 -0.1157520
   712 -1.4826911 -0.1148729
   711 -1.4713437 -0.1139937
   710 -1.4599964 -0.1131146
   709 -1.4486490 -0.1122355
   708 -1.4373017 -0.1113563
   707 -1.4259543 -0.1104772
   706 -1.4146070 -0.1095980
   705 -1.4032596 -0.1087189
   704 -1.3919123 -0.1078397
   703 -1.3805649 -0.1069606
   702 -1.3692176 -0.1060814
   701 -1.3578702 -0.1052023
   700 -1.3465229 -0.1043231
   699 -1.3351755 -0.1034440
   698 -1.3238282 -0.1025648
   697 -1.3124808 -0.1016857
   696 -1.3011335 -0.1008065
   695 -1.2897861 -0.0999274
   694 -1.2784388 -0.0990483
   693 -1.2670914 -0.0981691
   692 -1.2557441 -0.0972900
   691 -1.2443967 -0.0964108
   690 -1.2330494 -0.0955317
   689 -1.2217020 -0.0946525
   688 -1.2103547 -0.0937734
   687 -1.1990073 -0.0928942
   686 -1.1876600 -0.0920151
   685 -1.1763126 -0.0911359
   684 -1.1649653 -0.0902568
   683 -1.1536179 -0.0893776
   682 -1.1422706 -0.0884985
   681 -1.1309232 -0.0876193
   680 -1.1195759 -0.0867402
   679 -1.1082285 -0.0858611
   678 -1.0968812 -0.0849819
   677 -1.0855338 -0.0841028
   676 -1.0741865 -0.0832236
   675 -1.0628391 -0.0823445
   674 -1.0514918 -0.0814653
   673 -1.0401444 -0.0805862
   672 -1.0287971 -0.0797070
   671 -1.0174497 -0.0788279
   670 -1.0061024 -0.0779487
   669 -0.9947550 -0.0770696
   668 -0.9834077 -0.0761904
   667 -0.9720603 -0.0753113
   666 -0.9607130 -0.0744321
   665 -0.9493656 -0.0735530
   664 -0.9380183 -0.0726739
   663 -0.9266709 -0.0717947
   662 -0.9153236 -0.0709156
   661 -0.9039762 -0.0700364
   660 -0.8926289 -0.0691573
   659 -0.8812815 -0.0682781
   658 -0.8699342 -0.0673990
   657 -0.8585868 -0.0665198
   656 -0.8472395 -0.0656407
   655 -0.8358921 -0.0647615
   654 -0.8245448 -0.0638824
   653 -0.8131974 -0.0630032
   652 -0.8018501 -0.0621241
   651 -0.7905027 -0.0612449
   650 -0.7791554 -0.0603658
   649 -0.7678080 -0.0594867
   648 -0.7564607 -0.0586075
   647 -0.7451133 -0.0577284
   646 -0.7337660 -0.0568492
   645 -0.7224186 -0.0559701
   644 -0.7110713 -0.0550909
   643 -0.6997239 -0.0542118
   642 -0.6883766 -0.0533326
   641 -0.6770292 -0.0524535
   640 -0.6656819 -0.0515743
   639 -0.6543345 -0.0506952
   638 -0.6566040 -0.0508710
   637 -0.6626076 -0.0513361
   636 -0.6686112 -0.0518013
   635 -0.6746147 -0.0522664
   634 -0.6806183 -0.0527315
   633 -0.6866219 -0.0531967
   632 -0.6926255 -0.0536618
   631 -0.6986291 -0.0541269
   630 -0.7046327 -0.0545921
   629 -0.7106362 -0.0550572
   628 -0.7166398 -0.0555223
   627 -0.7226434 -0.0559875
   626 -0.7286470 -0.0564526
   625 -0.7346506 -0.0569177
   624 -0.7406542 -0.0573829
   623 -0.7466577 -0.0578480
   622 -0.7526613 -0.0583131
   621 -0.7586649 -0.0587783
   620 -0.7646685 -0.0592434
   619 -0.7706721 -0.0597085
   618 -0.7766757 -0.0601737
   617 -0.7826792 -0.0606388
   616 -0.7886828 -0.0611039
   615 -0.7946864 -0.0615691
   614 -0.8006900 -0.0620342
   613 -0.8066936 -0.0624993
   612 -0.8126972 -0.0629645
   611 -0.8187007 -0.0634296
   610 -0.8247043 -0.0638947
   609 -0.8307079 -0.0643599
   608 -0.8367115 -0.0648250
   607 -0.8427151 -0.0652901
   606 -0.8487187 -0.0657553
   605 -0.8547222 -0.0662204
   604 -0.8607258 -0.0666855
   603 -0.8667294 -0.0671507
   602 -0.8727330 -0.0676158
   601 -0.8787366 -0.0680809
   600 -0.8847402 -0.0685461
   599 -0.8907437 -0.0690112
   598 -0.8967473 -0.0694763
   597 -0.9027509 -0.0699415
   596 -0.9087545 -0.0704066
   595 -0.9147581 -0.0708717
   594 -0.9207617 -0.0713369
   593 -0.9267652 -0.0718020
   592 -0.9327688 -0.0722671
   591 -0.9387724 -0.0727323
   590 -0.9447760 -0.0731974
   589 -0.9507796 -0.0736625
   588 -0.9567832 -0.0741277
   587 -0.9627867 -0.0745928
   586 -0.9687903 -0.0750579
   585 -0.9747939 -0.0755231
   584 -0.9807975 -0.0759882
   583 -0.9868011 -0.0764533
   582 -0.9928047 -0.0769185
   581 -0.9988082 -0.0773836
   580 -1.0048118 -0.0778487
   579 -1.0108154 -0.0783139
   578 -1.0168190 -0.0787790
   577 -1.0228226 -0.0792441
   576 -1.0288262 -0.0797093
   575 -1.0348297 -0.0801744
   574 -1.0408333 -0.0806395
   573 -1.0468369 -0.0811047
   572 -1.0528405 -0.0815698
   571 -1.0588441 -0.0820349
   570 -1.0648477 -0.0825001
   569 -1.0708512 -0.0829652
   568 -1.0768548 -0.0834303
   567 -1.0828584 -0.0838955
   566 -1.0888620 -0.0843606
   565 -1.0948656 -0.0848257
   564 -1.1008691 -0.0852909
   563 -1.1068727 -0.0857560
   562 -1.1128763 -0.0862211
   561 -1.1188799 -0.0866863
   560 -1.1248835 -0.0871514
   559 -1.1308871 -0.0876165
   558 -1.1368906 -0.0880817
   557 -1.1428942 -0.0885468
   556 -1.1488978 -0.0890119
   555 -1.1549014 -0.0894771
   554 -1.1609050 -0.0899422
   553 -1.1669086 -0.0904073
   552 -1.1729121 -0.0908725
   551 -1.1789157 -0.0913376
   550 -1.1849193 -0.0918027
   549 -1.1909229 -0.0922679
   548 -1.1894220 -0.0921516
   547 -1.1907591 -0.0922552
   546 -1.1920963 -0.0923588
   545 -1.1934334 -0.0924624
   544 -1.1947706 -0.0925660
   543 -1.1961077 -0.0926696
   542 -1.1974449 -0.0927732
   541 -1.1987820 -0.0928768
   540 -1.2001191 -0.0929804
   539 -1.2014563 -0.0930840
   538 -1.2027934 -0.0931876
   537 -1.2041306 -0.0932912
   536 -1.2054677 -0.0933948
   535 -1.2068049 -0.0934983
   534 -1.2081420 -0.0936019
   533 -1.2094791 -0.0937055
   532 -1.2108163 -0.0938091
   531 -1.2121534 -0.0939127
   530 -1.2134906 -0.0940163
   529 -1.2148277 -0.0941199
   528 -1.2161649 -0.0942235
   527 -1.2175020 -0.0943271
   526 -1.2188391 -0.0944307
   525 -1.2201763 -0.0945343
   524 -1.2215134 -0.0946379
   523 -1.2228506 -0.0947415
   522 -1.2241877 -0.0948451
   521 -1.2255249 -0.0949487
   520 -1.2268620 -0.0950523
   519 -1.2281991 -0.0951559
   518 -1.2295363 -0.0952595
   517 -1.2308734 -0.0953631
   516 -1.2322106 -0.0954667
   515 -1.2335477 -0.0955703
   514 -1.2348849 -0.0956739
   513 -1.2362220 -0.0957775
   512 -1.2375591 -0.0958811
   511 -1.2388963 -0.0959847
   510 -1.2402334 -0.0960883
   509 -1.2415706 -0.0961919
   508 -1.2429077 -0.0962955
   507 -1.2442449 -0.0963990
   506 -1.2455820 -0.0965026
   505 -1.2469191 -0.0966062
   504 -1.2482563 -0.0967098
   503 -1.2495934 -0.0968134
   502 -1.2509306 -0.0969170
   501 -1.2522677 -0.0970206
   500 -1.2536049 -0.0971242
   499 -1.2549420 -0.0972278
   498 -1.2562791 -0.0973314
   497 -1.2576163 -0.0974350
   496 -1.2589534 -0.0975386
   495 -1.2602906 -0.0976422
   494 -1.2616277 -0.0977458
   493 -1.2629649 -0.0978494
   492 -1.2643020 -0.0979530
   491 -1.2656391 -0.0980566
   490 -1.2669763 -0.0981602
   489 -1.2683134 -0.0982638
   488 -1.2696506 -0.0983674
   487 -1.2709877 -0.0984710
   486 -1.2723249 -0.0985746
   485 -1.2736620 -0.0986782
   484 -1.2749991 -0.0987818
   483 -1.2763363 -0.0988854
   482 -1.2776734 -0.0989890
   481 -1.2790106 -0.0990926
   480 -1.2803477 -0.0991961
   479 -1.2816849 -0.0992997
   478 -1.2830220 -0.0994033
   477 -1.2843591 -0.0995069
   476 -1.2856963 -0.0996105
   475 -1.2870334 -0.0997141
   474 -1.2883706 -0.0998177
   473 -1.2897077 -0.0999213
   472 -1.2910449 -0.1000249
   471 -1.2923820 -0.1001285
   470 -1.2937191 -0.1002321
   469 -1.2950563 -0.1003357
   468 -1.2963934 -0.1004393
   467 -1.2977306 -0.1005429
   466 -1.2990677 -0.1006465
   465 -1.3004049 -0.1007501
   464 -1.3017420 -0.1008537
   463 -1.3030791 -0.1009573
   462 -1.3044163 -0.1010609
   461 -1.3057534 -0.1011645
   460 -1.3070906 -0.1012681
   459 -1.3078260 -0.1013251
   458 -1.3111785 -0.1015848
   457 -1.3145310 -0.1018445
   456 -1.3178834 -0.1021043
   455 -1.3212359 -0.1023640
   454 -1.3245884 -0.1026237
   453 -1.3279409 -0.1028835
   452 -1.3312933 -0.1031432
   451 -1.3346458 -0.1034029
   450 -1.3379983 -0.1036627
   449 -1.3413508 -0.1039224
   448 -1.3447033 -0.1041822
   447 -1.3480557 -0.1044419
   446 -1.3514082 -0.1047016
   445 -1.3547607 -0.1049614
   444 -1.3581132 -0.1052211
   443 -1.3614656 -0.1054808
   442 -1.3648181 -0.1057406
   441 -1.3681706 -0.1060003
   440 -1.3715231 -0.1062600
   439 -1.3748756 -0.1065198
   438 -1.3782280 -0.1067795
   437 -1.3815805 -0.1070393
   436 -1.3849330 -0.1072990
   435 -1.3882855 -0.1075587
   434 -1.3916379 -0.1078185
   433 -1.3949904 -0.1080782
   432 -1.3983429 -0.1083379
   431 -1.4016954 -0.1085977
   430 -1.4050479 -0.1088574
   429 -1.4084003 -0.1091171
   428 -1.4117528 -0.1093769
   427 -1.4151053 -0.1096366
   426 -1.4184578 -0.1098964
   425 -1.4218102 -0.1101561
   424 -1.4251627 -0.1104158
   423 -1.4285152 -0.1106756
   422 -1.4318677 -0.1109353
   421 -1.4352202 -0.1111950
   420 -1.4385726 -0.1114548
   419 -1.4419251 -0.1117145
   418 -1.4452776 -0.1119742
   417 -1.4486301 -0.1122340
   416 -1.4519825 -0.1124937
   415 -1.4553350 -0.1127535
   414 -1.4586875 -0.1130132
   413 -1.4620400 -0.1132729
   412 -1.4653925 -0.1135327
   411 -1.4687449 -0.1137924
   410 -1.4720974 -0.1140521
   409 -1.4754499 -0.1143119
   408 -1.4788024 -0.1145716
   407 -1.4821548 -0.1148313
   406 -1.4855073 -0.1150911
   405 -1.4888598 -0.1153508
   404 -1.4922123 -0.1156106
   403 -1.4955648 -0.1158703
   402 -1.4989172 -0.1161300
   401 -1.5022697 -0.1163898
   400 -1.5056222 -0.1166495
