year	rel_temperature	rel_pptn
140000	-6.8  	-0.535694147
139999	-6.8001	-0.535508064
139998	-6.8002	-0.53532198
139997	-6.8003	-0.535135897
139996	-6.8004	-0.534949814
139995	-6.8005	-0.534763731
139994	-6.8006	-0.534577647
139993	-6.8007	-0.534391564
139992	-6.8008	-0.534205481
139991	-6.8009	-0.534019398
139990	-6.801	-0.533833315
139989	-6.8011	-0.533647231
139988	-6.8012	-0.533461148
139987	-6.8013	-0.533275065
139986	-6.8014	-0.533088982
139985	-6.8015	-0.532902898
139984	-6.8016	-0.532716815
139983	-6.8017	-0.532530732
139982	-6.8018	-0.532344649
139981	-6.8019	-0.532158565
139980	-6.802	-0.531972482
139979	-6.8021	-0.531786399
139978	-6.8022	-0.531600316
139977	-6.8023	-0.531414233
139976	-6.8024	-0.531228149
139975	-6.8025	-0.531042066
139974	-6.8026	-0.530855983
139973	-6.8027	-0.5306699
139972	-6.8028	-0.530483816
139971	-6.8029	-0.530297733
139970	-6.803	-0.53011165
139969	-6.8031	-0.529925567
139968	-6.8032	-0.529739483
139967	-6.8033	-0.5295534
139966	-6.8034	-0.529367317
139965	-6.8035	-0.529181234
139964	-6.8036	-0.528995151
139963	-6.8037	-0.528809067
139962	-6.8038	-0.528622984
139961	-6.8039	-0.528436901
139960	-6.804	-0.528250818
139959	-6.8041	-0.528064734
139958	-6.8042	-0.527878651
139957	-6.8043	-0.527692568
139956	-6.8044	-0.527506485
139955	-6.8045	-0.527320401
139954	-6.8046	-0.527134318
139953	-6.8047	-0.526948235
139952	-6.8048	-0.526762152
139951	-6.8049	-0.526576069
139950	-6.805	-0.526389985
139949	-6.8051	-0.526203902
139948	-6.8052	-0.526017819
139947	-6.8053	-0.525831736
139946	-6.8054	-0.525645652
139945	-6.8055	-0.525459569
139944	-6.8056	-0.525273486
139943	-6.8057	-0.525087403
139942	-6.8058	-0.524901319
139941	-6.8059	-0.524715236
139940	-6.806	-0.524529153
139939	-6.8061	-0.52434307
139938	-6.8062	-0.524156987
139937	-6.8063	-0.523970903
139936	-6.8064	-0.52378482
139935	-6.8065	-0.523598737
139934	-6.8066	-0.523412654
139933	-6.8067	-0.52322657
139932	-6.8068	-0.523040487
139931	-6.8069	-0.522854404
139930	-6.807	-0.522668321
139929	-6.8071	-0.522482238
139928	-6.8072	-0.522296154
139927	-6.8073	-0.522110071
139926	-6.8074	-0.521923988
139925	-6.8075	-0.521737905
139924	-6.8076	-0.521551821
139923	-6.8077	-0.521365738
139922	-6.8078	-0.521179655
139921	-6.8079	-0.520993572
139920	-6.808	-0.520807488
139919	-6.8081	-0.520621405
139918	-6.8082	-0.520435322
139917	-6.8083	-0.520249239
139916	-6.8084	-0.520063156
139915	-6.8085	-0.519877072
139914	-6.8086	-0.519690989
139913	-6.8087	-0.519504906
139912	-6.8088	-0.519318823
139911	-6.8089	-0.519132739
139910	-6.809	-0.518946656
139909	-6.8091	-0.518760573
139908	-6.8092	-0.51857449
139907	-6.8093	-0.518388406
139906	-6.8094	-0.518202323
139905	-6.8095	-0.51801624
139904	-6.8096	-0.517830157
139903	-6.8097	-0.517644074
139902	-6.8098	-0.51745799
139901	-6.8099	-0.517271907
139900	-6.81	-0.517085824
139899	-6.8101	-0.516899741
139898	-6.8102	-0.516713657
139897	-6.8103	-0.516527574
139896	-6.8104	-0.516341491
139895	-6.8105	-0.516155408
139894	-6.8106	-0.515969324
139893	-6.8107	-0.515783241
139892	-6.8108	-0.515597158
139891	-6.8109	-0.515411075
